scope,baseline,candidate_id,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,support_count,support_rate,support_wilson_95_low,support_wilson_95_high,positive_support_count,positive_support_rate,positive_support_wilson_95_low,positive_support_wilson_95_high
image,B3_validation,configmean_interactions_d4_r10,interaction_increment,0.3,0.5,100,100,1.0,66,0.66,0.5627772885472462,0.7453847920265184,66,0.66,0.5627772885472462,0.7453847920265184
image,B3_validation,configmean_interactions_d4_r10,interaction_increment,0.8,0.2,100,100,1.0,33,0.33,0.24563122734128034,0.4269465620490947,33,0.33,0.24563122734128034,0.4269465620490947
image,B3_validation,configmean_interactions_d4_r10,interaction_increment,0.8,0.35,100,100,1.0,55,0.55,0.45244602997442135,0.6438546202048803,55,0.55,0.45244602997442135,0.6438546202048803
image,B3_validation,configmean_interactions_d4_r10,interaction_increment,0.8,0.5,100,100,1.0,87,0.87,0.7901964855992357,0.9224283257275948,87,0.87,0.7901964855992357,0.9224283257275948
image,B3_validation,configmean_interactions_d4_r10,interaction_proxy_null,0.3,0.0,100,100,1.0,11,0.11,0.06254196357064568,0.18631296503080313,11,0.11,0.06254196357064568,0.18631296503080313
image,B3_validation,configmean_interactions_d4_r10,interaction_proxy_null,0.8,0.0,100,100,1.0,8,0.08,0.041093461484380624,0.14998107700948735,8,0.08,0.041093461484380624,0.14998107700948735
image,B3_validation,configmean_interactions_d4_r10,nonlinear_proxy_null,0.3,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,2,0.02,0.00550196755016235,0.07001179072854388
image,B3_validation,configmean_interactions_d4_r10,nonlinear_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B1_design,configmean_extra_trees,additive_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B1_design,configmean_extra_trees,additive_proxy_null,0.8,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,2,0.02,0.00550196755016235,0.07001179072854388
text,B1_design,configmean_extra_trees,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,5,0.05,0.02154367915436796,0.11175046923191913,5,0.05,0.02154367915436796,0.11175046923191913
text,B1_design,configmean_extra_trees,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,5,0.05,0.02154367915436796,0.11175046923191913,5,0.05,0.02154367915436796,0.11175046923191913
text,B1_design,configmean_extra_trees,independent_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B1_design,configmean_extra_trees,independent_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B1_design,configmean_extra_trees,interaction_increment,0.3,0.2,100,100,1.0,8,0.08,0.041093461484380624,0.14998107700948735,7,0.07,0.03431926106727268,0.137495147390735
text,B1_design,configmean_extra_trees,interaction_increment,0.3,0.35,100,100,1.0,12,0.12,0.06999406437019488,0.19812099426711421,12,0.12,0.06999406437019488,0.19812099426711421
text,B1_design,configmean_extra_trees,interaction_increment,0.3,0.5,100,100,1.0,18,0.18,0.1170022549894635,0.2666735838630073,18,0.18,0.1170022549894635,0.2666735838630073
text,B1_design,configmean_extra_trees,interaction_increment,0.8,0.2,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,7,0.07,0.03431926106727268,0.137495147390735
text,B1_design,configmean_extra_trees,interaction_increment,0.8,0.35,100,100,1.0,16,0.16,0.10095288488804782,0.24420269389270244,16,0.16,0.10095288488804782,0.24420269389270244
text,B1_design,configmean_extra_trees,interaction_increment,0.8,0.5,100,100,1.0,20,0.2,0.1333669333310325,0.2888291655931589,20,0.2,0.1333669333310325,0.2888291655931589
text,B1_design,configmean_extra_trees,interaction_proxy_null,0.3,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,2,0.02,0.00550196755016235,0.07001179072854388
text,B1_design,configmean_extra_trees,interaction_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B1_design,configmean_extra_trees,nonlinear_proxy_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
text,B1_design,configmean_extra_trees,nonlinear_proxy_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
text,B1_design,configmean_interactions_d4_r10,additive_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B1_design,configmean_interactions_d4_r10,additive_proxy_null,0.8,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,2,0.02,0.00550196755016235,0.07001179072854388
text,B1_design,configmean_interactions_d4_r10,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
text,B1_design,configmean_interactions_d4_r10,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,8,0.08,0.041093461484380624,0.14998107700948735,8,0.08,0.041093461484380624,0.14998107700948735
