geometry,n_configurations,baseline,scenario,icc,beta,method,planned_repetitions,estimated_repetitions,estimability_rate,positive_support_count_a05,positive_support_rate_a05,positive_support_wilson_low_a05,positive_support_wilson_high_a05,positive_support_count_a001,positive_support_rate_a001,positive_support_wilson_low_a001,positive_support_wilson_high_a001
image_like,24,B3_validation,additive_proxy_null,0.8,0.0,observable_oracle,500,500,1.0,11,0.022,0.012328008269927582,0.03896086121131637,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B3_validation,additive_proxy_null,0.8,0.0,learned_raw_d2,500,500,1.0,72,0.144,0.11593807411034973,0.17749045629827542,4,0.008,0.00311531518006224,0.020387035834105168
image_like,24,B3_validation,additive_proxy_null,0.8,0.0,learned_rank_d2,500,500,1.0,75,0.15,0.12137595769138819,0.18396108063169836,4,0.008,0.00311531518006224,0.020387035834105168
image_like,24,B3_validation,heteroskedastic_proxy_null,0.3,0.0,latent_ceiling,500,500,1.0,5,0.01,0.004278753896590496,0.023193099755730702,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B3_validation,heteroskedastic_proxy_null,0.3,0.0,observable_oracle,500,500,1.0,8,0.016,0.008129253033388314,0.03125110853339426,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B3_validation,heteroskedastic_proxy_null,0.3,0.0,learned_raw_d2,500,500,1.0,54,0.108,0.08372280963705037,0.13825467328480662,4,0.008,0.00311531518006224,0.020387035834105168
image_like,24,B3_validation,heteroskedastic_proxy_null,0.3,0.0,learned_rank_d2,500,500,1.0,76,0.152,0.12319239267380164,0.18611414828743875,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B3_validation,heteroskedastic_proxy_null,0.8,0.0,latent_ceiling,500,500,1.0,10,0.02,0.010899183596210813,0.036420183246879345,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B3_validation,heteroskedastic_proxy_null,0.8,0.0,observable_oracle,500,500,1.0,13,0.026,0.015256383923327248,0.04397149083422428,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B3_validation,heteroskedastic_proxy_null,0.8,0.0,learned_raw_d2,500,500,1.0,69,0.138,0.1105180088988837,0.17100201359528017,4,0.008,0.00311531518006224,0.020387035834105168
image_like,24,B3_validation,heteroskedastic_proxy_null,0.8,0.0,learned_rank_d2,500,500,1.0,73,0.146,0.11774876682646929,0.1796492662203097,2,0.004,0.0010976305226827934,0.014465715215177033
image_like,24,B3_validation,independent_null,0.3,0.0,latent_ceiling,500,500,1.0,18,0.036,0.02289106098029272,0.056184326968027755,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B3_validation,independent_null,0.3,0.0,observable_oracle,500,500,1.0,12,0.024,0.013781314655496986,0.041477057463900756,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B3_validation,independent_null,0.3,0.0,learned_raw_d2,500,500,1.0,68,0.136,0.10871544340723721,0.16883507644877283,6,0.012,0.005510995174027703,0.025930361116447292
image_like,24,B3_validation,independent_null,0.3,0.0,learned_rank_d2,500,500,1.0,68,0.136,0.10871544340723721,0.16883507644877283,4,0.008,0.00311531518006224,0.020387035834105168
image_like,24,B3_validation,independent_null,0.8,0.0,latent_ceiling,500,500,1.0,12,0.024,0.013781314655496986,0.041477057463900756,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B3_validation,independent_null,0.8,0.0,observable_oracle,500,500,1.0,8,0.016,0.008129253033388314,0.03125110853339426,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B3_validation,independent_null,0.8,0.0,learned_raw_d2,500,500,1.0,75,0.15,0.12137595769138819,0.18396108063169836,5,0.01,0.004278753896590496,0.023193099755730702
image_like,24,B3_validation,independent_null,0.8,0.0,learned_rank_d2,500,500,1.0,62,0.124,0.09794609113930344,0.15578741288778383,5,0.01,0.004278753896590496,0.023193099755730702
image_like,24,B3_validation,interaction_proxy_null,0.3,0.0,latent_ceiling,500,500,1.0,13,0.026,0.015256383923327248,0.04397149083422428,0,0.0,4.336808689942018e-19,0.007624340461552241
