repetition,scenario,expected_increment,nuisance_model,refit_draws,simulation_seed,analysis_seed,status,delta_mse,refit_delta_mse_ci_low,refit_delta_mse_ci_high,residual_p,predictive_supported,joint_supported
2,genuine_increment,True,polynomial_ridge,99,20460737,22300765,estimated,0.03415110482445478,0.0230535966927351,0.04413219296039947,0.005,True,True
2,genuine_increment,True,polynomial_ridge,199,20460737,22300765,estimated,0.03415110482445478,0.022810564335771583,0.04393467147552654,0.005,True,True
2,genuine_increment,True,polynomial_ridge,499,20460737,22300765,estimated,0.03415110482445478,0.02285978220753502,0.043841294330492976,0.005,True,True
2,genuine_increment,True,polynomial_ridge,999,20460737,22300765,estimated,0.03415110482445478,0.022837411085908015,0.04333468705023409,0.005,True,True
2,genuine_increment,True,polynomial_ridge_interactions,99,20460737,22301774,estimated,0.035307809924083375,0.022524171555036828,0.04320510509397221,0.005,True,True
2,genuine_increment,True,polynomial_ridge_interactions,199,20460737,22301774,estimated,0.035307809924083375,0.02299328747140472,0.04365516148967762,0.005,True,True
2,genuine_increment,True,polynomial_ridge_interactions,499,20460737,22301774,estimated,0.035307809924083375,0.02309082050686119,0.04486841622257073,0.005,True,True
2,genuine_increment,True,polynomial_ridge_interactions,999,20460737,22301774,estimated,0.035307809924083375,0.02299328747140472,0.04397773031508587,0.005,True,True
2,heteroskedastic_null,False,polynomial_ridge,99,20460737,22280751,estimated,-0.00026582745249953237,-0.0010934295476676314,0.001165524270824048,0.415,False,False
2,heteroskedastic_null,False,polynomial_ridge,199,20460737,22280751,estimated,-0.00026582745249953237,-0.001041117064114827,0.001037237335363004,0.415,False,False
2,heteroskedastic_null,False,polynomial_ridge,499,20460737,22280751,estimated,-0.00026582745249953237,-0.001049566631015601,0.001174442691044687,0.415,False,False
2,heteroskedastic_null,False,polynomial_ridge,999,20460737,22280751,estimated,-0.00026582745249953237,-0.001055074390050832,0.0011753095107888342,0.415,False,False
2,heteroskedastic_null,False,polynomial_ridge_interactions,99,20460737,22281760,estimated,3.5998007172084734e-05,-0.0004899915559919226,0.0008736069345659474,0.235,False,False
2,heteroskedastic_null,False,polynomial_ridge_interactions,199,20460737,22281760,estimated,3.5998007172084734e-05,-0.0004796414357576451,0.0006692609466180591,0.235,False,False
2,heteroskedastic_null,False,polynomial_ridge_interactions,499,20460737,22281760,estimated,3.5998007172084734e-05,-0.000441629487293904,0.0006754087354117173,0.235,False,False
2,heteroskedastic_null,False,polynomial_ridge_interactions,999,20460737,22281760,estimated,3.5998007172084734e-05,-0.0004276337964550981,0.0007802272165382861,0.235,False,False
2,nonlinear_proxy,False,polynomial_ridge,99,20460737,22270744,estimated,-0.0005199776423906472,-0.0011229902180713328,0.001359012141077979,0.89,False,False
2,nonlinear_proxy,False,polynomial_ridge,199,20460737,22270744,estimated,-0.0005199776423906472,-0.0012125431210465783,0.001297915502014148,0.89,False,False
2,nonlinear_proxy,False,polynomial_ridge,499,20460737,22270744,estimated,-0.0005199776423906472,-0.0011492239440732692,0.0012303598849569893,0.89,False,False
2,nonlinear_proxy,False,polynomial_ridge,999,20460737,22270744,estimated,-0.0005199776423906472,-0.0011313993066872838,0.0012121797524276118,0.89,False,False
2,nonlinear_proxy,False,polynomial_ridge_interactions,99,20460737,22271753,estimated,-0.0004963071208399037,-0.0009063366917087133,0.0007212410949704326,0.93,False,False
2,nonlinear_proxy,False,polynomial_ridge_interactions,199,20460737,22271753,estimated,-0.0004963071208399037,-0.0009001200973950952,0.0007507438441452895,0.93,False,False
2,nonlinear_proxy,False,polynomial_ridge_interactions,499,20460737,22271753,estimated,-0.0004963071208399037,-0.0008782071340808742,0.0007534517168924792,0.93,False,False
2,nonlinear_proxy,False,polynomial_ridge_interactions,999,20460737,22271753,estimated,-0.0004963071208399037,-0.0008632965776525304,0.0007444366454346218,0.93,False,False
2,null_metric,False,polynomial_ridge,99,20460737,22260737,estimated,-0.0011344937609530682,-0.002363109156045941,0.0021204191119134417,0.465,False,False
2,null_metric,False,polynomial_ridge,199,20460737,22260737,estimated,-0.0011344937609530682,-0.00265257070652519,0.00226955934383856,0.465,False,False
2,null_metric,False,polynomial_ridge,499,20460737,22260737,estimated,-0.0011344937609530682,-0.002539727750055642,0.0023225442187274595,0.465,False,False
2,null_metric,False,polynomial_ridge,999,20460737,22260737,estimated,-0.0011344937609530682,-0.002485426018910519,0.002236888850830028,0.465,False,False
2,null_metric,False,polynomial_ridge_interactions,99,20460737,22261746,estimated,-0.0009181045915421064,-0.0008665914717116913,0.002275495379945424,0.94,False,False
2,null_metric,False,polynomial_ridge_interactions,199,20460737,22261746,estimated,-0.0009181045915421064,-0.0009382631420713773,0.002167846190601988,0.94,False,False
2,null_metric,False,polynomial_ridge_interactions,499,20460737,22261746,estimated,-0.0009181045915421064,-0.001089668183181873,0.0019210679505684129,0.94,False,False
2,null_metric,False,polynomial_ridge_interactions,999,20460737,22261746,estimated,-0.0009181045915421064,-0.001106016350051282,0.0020038108480540445,0.94,False,False
3,clustered_null,False,polynomial_ridge,99,20560740,23290761,estimated,-0.007264484378837836,-0.010461122251398898,0.007087539977126637,0.125,False,False
3,clustered_null,False,polynomial_ridge,199,20560740,23290761,estimated,-0.007264484378837836,-0.012248732978662585,0.006801812026826542,0.125,False,False
3,clustered_null,False,polynomial_ridge,499,20560740,23290761,estimated,-0.007264484378837836,-0.01359055890968309,0.008550306146390648,0.125,False,False
3,clustered_null,False,polynomial_ridge,999,20560740,23290761,estimated,-0.007264484378837836,-0.014942842609029089,0.009122670179576912,0.125,False,False
3,clustered_null,False,polynomial_ridge_interactions,99,20560740,23291770,estimated,-0.0012526675935986657,-0.006462507797874333,0.006707879099097531,0.095,False,False
3,clustered_null,False,polynomial_ridge_interactions,199,20560740,23291770,estimated,-0.0012526675935986657,-0.007112954532960451,0.009295891503333157,0.095,False,False
3,clustered_null,False,polynomial_ridge_interactions,499,20560740,23291770,estimated,-0.0012526675935986657,-0.0074050986592200056,0.008739551383768229,0.095,False,False
3,clustered_null,False,polynomial_ridge_interactions,999,20560740,23291770,estimated,-0.0012526675935986657,-0.007763962853284652,0.007967000811195533,0.095,False,False
3,genuine_increment,True,polynomial_ridge,99,20560740,23300768,estimated,0.04278822510991065,0.030896797192307878,0.05298308673035155,0.005,True,True
3,genuine_increment,True,polynomial_ridge,199,20560740,23300768,estimated,0.04278822510991065,0.030871494433264857,0.05336842605878082,0.005,True,True
3,genuine_increment,True,polynomial_ridge,499,20560740,23300768,estimated,0.04278822510991065,0.030896797192307878,0.05286839324725701,0.005,True,True
3,genuine_increment,True,polynomial_ridge,999,20560740,23300768,estimated,0.04278822510991065,0.03108330445127435,0.05246653331220459,0.005,True,True
3,genuine_increment,True,polynomial_ridge_interactions,99,20560740,23301777,estimated,0.04429188397684522,0.0326150513287486,0.05054565038534059,0.005,True,True
3,genuine_increment,True,polynomial_ridge_interactions,199,20560740,23301777,estimated,0.04429188397684522,0.03178845659304759,0.0529803433886315,0.005,True,True
3,genuine_increment,True,polynomial_ridge_interactions,499,20560740,23301777,estimated,0.04429188397684522,0.0316015685666139,0.05215121458397084,0.005,True,True
3,genuine_increment,True,polynomial_ridge_interactions,999,20560740,23301777,estimated,0.04429188397684522,0.031066477156232536,0.052076072531492754,0.005,True,True
3,heteroskedastic_null,False,polynomial_ridge,99,20560740,23280754,estimated,-0.00035812552583381306,-0.0006452962198022256,0.00108485582912731,0.69,False,False
3,heteroskedastic_null,False,polynomial_ridge,199,20560740,23280754,estimated,-0.00035812552583381306,-0.0007352780099873519,0.0010930717975634456,0.69,False,False
3,heteroskedastic_null,False,polynomial_ridge,499,20560740,23280754,estimated,-0.00035812552583381306,-0.0006821945211762073,0.001133651272797052,0.69,False,False
3,heteroskedastic_null,False,polynomial_ridge,999,20560740,23280754,estimated,-0.00035812552583381306,-0.0007076398496549261,0.001084315406335731,0.69,False,False
3,heteroskedastic_null,False,polynomial_ridge_interactions,99,20560740,23281763,estimated,-0.00014589125678825948,-0.0008384469465566036,0.0003852849400632406,0.705,False,False
3,heteroskedastic_null,False,polynomial_ridge_interactions,199,20560740,23281763,estimated,-0.00014589125678825948,-0.0007970442172763917,0.00032761403778643804,0.705,False,False
3,heteroskedastic_null,False,polynomial_ridge_interactions,499,20560740,23281763,estimated,-0.00014589125678825948,-0.000813759812209919,0.0002990483490985146,0.705,False,False
3,heteroskedastic_null,False,polynomial_ridge_interactions,999,20560740,23281763,estimated,-0.00014589125678825948,-0.000761194045508774,0.00031454988688379233,0.705,False,False
3,nonlinear_proxy,False,polynomial_ridge,99,20560740,23270747,estimated,-0.00013646483792701877,-0.0008092298466863524,0.0006615366353569084,0.38,False,False
3,nonlinear_proxy,False,polynomial_ridge,199,20560740,23270747,estimated,-0.00013646483792701877,-0.0007164721597239037,0.0007102708568794061,0.38,False,False
3,nonlinear_proxy,False,polynomial_ridge,499,20560740,23270747,estimated,-0.00013646483792701877,-0.0006480899138316485,0.0008136043972625502,0.38,False,False
3,nonlinear_proxy,False,polynomial_ridge,999,20560740,23270747,estimated,-0.00013646483792701877,-0.0006771675614850219,0.0008094268985639555,0.38,False,False
3,nonlinear_proxy,False,polynomial_ridge_interactions,99,20560740,23271756,estimated,0.00011037177129824029,-0.0003177350775506591,0.000407462343589558,0.23,False,False
3,nonlinear_proxy,False,polynomial_ridge_interactions,199,20560740,23271756,estimated,0.00011037177129824029,-0.0002996362821514996,0.0004249072378209702,0.23,False,False
3,nonlinear_proxy,False,polynomial_ridge_interactions,499,20560740,23271756,estimated,0.00011037177129824029,-0.0003311127341567266,0.0005404388160431167,0.23,False,False
3,nonlinear_proxy,False,polynomial_ridge_interactions,999,20560740,23271756,estimated,0.00011037177129824029,-0.00035979093809452336,0.00048049725663111494,0.23,False,False
3,null_metric,False,polynomial_ridge,99,20560740,23260740,estimated,-0.0014844861535351778,-0.0032998189430052845,0.005304689973041804,0.32,False,False
3,null_metric,False,polynomial_ridge,199,20560740,23260740,estimated,-0.0014844861535351778,-0.0031746215628735454,0.00491762288799924,0.32,False,False
3,null_metric,False,polynomial_ridge,499,20560740,23260740,estimated,-0.0014844861535351778,-0.003155727356268605,0.0057732195832384285,0.32,False,False
3,null_metric,False,polynomial_ridge,999,20560740,23260740,estimated,-0.0014844861535351778,-0.0031201316458169858,0.004755660198282023,0.32,False,False
3,null_metric,False,polynomial_ridge_interactions,99,20560740,23261749,estimated,-0.0007483091673968698,-0.0025599585995130575,0.0017262345676809468,0.15,False,False
3,null_metric,False,polynomial_ridge_interactions,199,20560740,23261749,estimated,-0.0007483091673968698,-0.002201443172297097,0.0017697085122899909,0.15,False,False
3,null_metric,False,polynomial_ridge_interactions,499,20560740,23261749,estimated,-0.0007483091673968698,-0.0018592970895047736,0.0017198149835645387,0.15,False,False
3,null_metric,False,polynomial_ridge_interactions,999,20560740,23261749,estimated,-0.0007483091673968698,-0.0018628775444393052,0.001631256156374561,0.15,False,False
4,clustered_null,False,polynomial_ridge,99,20660743,24290764,estimated,-0.0045325837418956,-0.016240992834706258,0.02614263161109054,0.14,False,False
