protocol_id,scope,baseline,scenario,icc,beta,repetition,wild_draws,simulation_seed,status,split_0_p,split_0_score,split_1_p,split_1_score,split_2_p,split_2_score,single_005_supported,single_005_positive_supported,unanimous_050_supported,unanimous_050_positive_supported,unanimous_025_supported,unanimous_025_positive_supported,unanimous_010_supported,unanimous_010_positive_supported,two_of_three_010_supported,two_of_three_010_positive_supported
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.8,0.0,13,499,12133514768727049089,estimated,0.104,-0.014785991258408729,0.056,-0.017943300001160623,0.132,-0.015293340902064944,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.8,0.0,14,499,748640457451170442,estimated,0.346,-0.01114033189141629,0.332,-0.009988663398288376,0.292,-0.012662242054694283,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.8,0.0,15,499,12160642163281432408,estimated,0.002,0.028928275633397588,0.002,0.04739772716294791,0.002,0.0305760875948644,True,True,True,True,True,True,True,True,True,True
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.8,0.0,16,499,4342953675716765760,estimated,0.216,0.014570322011909076,0.13,0.017162267307681053,0.266,0.013305968602704088,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.8,0.0,17,499,7233843785565807066,estimated,0.192,0.013028757977870656,0.208,0.012099520932082344,0.08,0.016892237239883496,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.8,0.0,18,499,12393976633090048856,estimated,0.384,0.008072726352427234,0.34,0.010129473038443195,0.232,0.011635476696779898,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.8,0.0,19,499,15647822948074138456,estimated,0.59,0.00521289018021907,0.312,0.009053660494280167,0.068,0.019646437404707697,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.3,0.0,0,499,18064816413739084399,estimated,0.21,0.009500940135113002,0.062,0.013102557965740192,0.21,0.011340078551668334,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.3,0.0,1,499,14764841693322125440,estimated,0.906,-0.0009005528592092651,0.56,0.004603327658974116,0.754,-0.0027892346766313185,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.3,0.0,2,499,2795229441130947487,estimated,0.794,0.0019588076106020064,0.516,0.006308837985285816,0.862,0.0011762129288380864,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.3,0.0,3,499,6109026063712975906,estimated,0.822,-0.002363454646913959,0.876,-0.0013591945178015885,0.624,-0.004290160897115543,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.3,0.0,4,499,7838079370512273542,estimated,0.452,0.005200718089004428,0.184,0.011418286238762135,0.374,0.0067505145316966485,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.3,0.0,5,499,15521639420968958545,estimated,0.324,0.009640128578333566,0.488,0.007049154080453426,0.464,0.006806749344903294,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.3,0.0,6,499,6662511899717746476,estimated,0.918,0.0007370398957868193,0.234,0.010090251194913046,0.504,0.006081624512048714,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.3,0.0,7,499,9591087737729855911,estimated,0.716,0.003028903974302659,0.876,0.0013841932161583706,0.89,-0.0012065903630891523,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.3,0.0,8,499,11455410468223873601,estimated,0.414,-0.007352802007432231,0.64,0.004338937208545229,0.634,-0.004732562183620856,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.3,0.0,9,499,16762227902580178133,estimated,0.524,-0.005212017088623763,0.416,-0.0064181195788390885,0.92,-0.0006445345657165805,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.3,0.0,10,499,16950547173906765292,estimated,0.392,-0.007059099132498958,0.522,-0.005470072523618849,0.444,-0.007533325148255288,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.3,0.0,11,499,11174256311945998449,estimated,0.276,0.008185725792912997,0.226,0.009847775075273226,0.306,0.008035715270968686,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.3,0.0,12,499,11073652505990303246,estimated,0.574,0.00468995123040698,0.8,0.0020103294309573774,0.976,-0.0001560350052128871,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.3,0.0,13,499,8409429549542997678,estimated,0.984,0.000321125041694689,0.504,0.006440343622424026,0.852,-0.001496315845230279,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.3,0.0,14,499,3728281335761497691,estimated,0.204,0.011627609708076393,0.032,0.020155190803773187,0.36,0.008274142410227298,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.3,0.0,15,499,1948979245162449778,estimated,0.276,0.012841988773520633,0.586,0.005992892868908144,0.322,0.01042335095213887,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.3,0.0,16,499,6694627256787933665,estimated,0.356,0.008409801875122276,0.07,0.016384278989161574,0.394,0.008784550407343559,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.3,0.0,17,499,11245059120257275965,estimated,0.564,0.005917599736747319,0.724,0.00384862285399234,0.816,0.0024084021430918895,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.3,0.0,18,499,14458431437514459781,estimated,0.846,0.0020860778904877586,0.91,0.0011079535650000832,0.978,0.00036141202005130743,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.3,0.0,19,499,5677583935883144130,estimated,0.512,-0.004199882722043993,0.632,-0.0033192633979618066,0.616,-0.0036092284378363283,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.8,0.0,0,499,5216136679439296101,estimated,0.762,0.003119900818011019,0.818,-0.0023053047057049387,0.32,0.00983485214329652,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.8,0.0,1,499,10064385746563710064,estimated,0.176,0.01556604494136822,0.112,0.017279076497707522,0.216,0.015895566157399895,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.8,0.0,2,499,860356424717977147,estimated,0.612,0.00807702335206141,0.806,-0.003622710157504778,0.556,0.007385252200366187,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.8,0.0,3,499,8733139520763030522,estimated,0.934,0.0010561055200363715,0.944,-0.0010747446585144857,0.79,-0.002414345894330635,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.8,0.0,4,499,2500027663180128625,estimated,0.894,-0.001130554624368004,0.942,-0.0007907426028243639,0.782,0.00327655706835542,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.8,0.0,5,499,7621811159803762400,estimated,0.428,0.010769493661477385,0.794,-0.0029474926921375945,0.864,-0.0023599173829804564,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.8,0.0,6,499,3178055858911484102,estimated,0.95,-0.0006561292891318354,0.9,0.001551001493765708,0.89,-0.0017033870531615262,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,independent_null,0.8,0.0,7,499,13555478117997827964,estimated,0.418,0.006941903251095913,0.846,0.0019019276231001818,0.766,0.0033035170923964006,False,False,False,False,False,False,False,False,False,False
