repetition,seed,scenario,expected_stable_increment,contains_conditional_increment,configurations,raw_spearman,raw_kendall,partial_spearman,granulated_kendall,granulated_min_axis,jiang_cmi,jiang_cmi_min_conditioning,mbe_additive_residual_r,mbe_additive_p,mbe_additive_delta,mbe_additive_delta_ci_low,mbe_additive_class,mbe_interaction_residual_r,mbe_interaction_p,mbe_interaction_delta,mbe_interaction_delta_ci_low,mbe_interaction_class
3,30292787,interaction_proxy,False,False,27,0.6782661782661782,0.5213675213675214,0.44994422648275934,0.48148148148148157,0.18518518518518517,0.2060986408749058,none,0.7985347985347986,0.001,0.005221985087705949,0.0005690192358280716,increment-supported,0.13003663003663005,0.512,-0.00011061602395632392,-0.0014883102578514896,no-supported-increment
3,30293796,genuine_increment,True,True,27,0.3956043956043956,0.2934472934472935,0.7481889231653859,0.6296296296296297,0.2592592592592593,0.06303987115700682,none,0.8864468864468864,0.001,0.022056088949586723,0.007719879638333714,increment-supported,0.9511599511599511,0.001,0.026685130280435277,0.011698038774763617,increment-supported
3,30294805,axis_specialist_proxy,False,False,27,0.8577533577533577,0.6524216524216525,0.0041027115806371636,0.2839506172839506,-0.1111111111111111,0.023934793033270743,hp_a,0.30830280830280826,0.119,-0.0020522094856726923,-0.003476966374649401,no-supported-increment,-0.003052503052503052,0.992,-0.0013840605110159243,-0.002460098191799024,no-supported-increment
3,30295814,sign_flip_increment,False,True,27,-0.37484737484737485,-0.2592592592592593,-0.16973114013931762,-0.16049382716049385,-0.2592592592592593,0.049043951545027546,none,-0.24664224664224663,0.209,-0.06412045243144554,-0.10823496517256244,no-supported-increment,-0.31318681318681324,0.105,0.038689158288084564,0.02087088845282891,predictive-improvement-only
4,30300776,independent_null,False,False,27,0.10134310134310134,0.06552706552706554,0.11477443058429593,0.11111111111111112,-0.03703703703703704,0.003099539685051138,none,-0.11904761904761904,0.559,-0.00019709189600322988,-0.0009962587661023002,no-supported-increment,-0.017094017094017096,0.94,-0.0004132586728277411,-0.0010332717340892903,no-supported-increment
4,30301785,design_proxy,False,False,27,0.9847374847374847,0.9145299145299146,0.6660809018434055,0.7777777777777778,0.6296296296296297,0.42579243315608795,"hp_a,hp_c",0.8711843711843712,0.001,0.004223485878160257,0.0007252072698174952,increment-supported,0.5622710622710623,0.006,0.0011023038174900555,-3.334848423060353e-05,residual-dependence-only
4,30302794,interaction_proxy,False,False,27,0.702075702075702,0.5669515669515671,0.440279527682934,0.5555555555555556,0.2592592592592593,0.2240067008883587,"hp_a,hp_c",0.7771672771672772,0.001,0.003855245521059773,0.0008962773234700034,increment-supported,0.5219780219780219,0.003,-0.0004499034461638157,-0.0020407049199787464,residual-dependence-only
4,30303803,genuine_increment,True,True,27,0.5518925518925519,0.4074074074074075,0.6708355561171858,0.5555555555555557,0.18518518518518523,0.12328371100053608,none,0.7087912087912087,0.001,0.00939581807781618,0.0009385564048855265,increment-supported,0.884004884004884,0.001,0.02251504469988996,0.008099541409160133,increment-supported
4,30304812,axis_specialist_proxy,False,False,27,0.8785103785103784,0.6866096866096868,0.08761297839734336,0.35802469135802467,-0.1111111111111111,0.05666989744625046,hp_a,0.1581196581196581,0.445,-0.0004204787113239964,-0.0013751502079511007,no-supported-increment,0.1349206349206349,0.471,-2.9432472964137715e-05,-0.000710367698619412,no-supported-increment
4,30305821,sign_flip_increment,False,True,27,0.15079365079365079,0.09401709401709403,0.14832473867835985,-0.037037037037037014,-0.25925925925925924,0.006385571799925109,none,0.04212454212454213,0.837,-0.01033781330937003,-0.03359901063565609,no-supported-increment,0.10378510378510379,0.595,0.03320349154053916,0.011483644424310577,predictive-improvement-only
5,30310783,independent_null,False,False,27,-0.03724053724053724,-0.0028490028490028496,0.08906992143274232,-0.03703703703703703,-0.18518518518518517,5.85505390620652e-06,none,-0.16788766788766787,0.408,0.00026792237094296414,-0.0011446819140377253,no-supported-increment,0.005494505494505494,0.973,-0.0009179502097651886,-0.0017656600528355197,no-supported-increment
5,30311792,design_proxy,False,False,27,0.9884004884004883,0.9316239316239318,0.711810849602186,0.8765432098765432,0.7037037037037037,0.5509151621318297,"hp_a,hp_c",0.8797313797313797,0.001,0.007912963445645998,0.003406353920075402,increment-supported,0.6788766788766789,0.001,6.297722628280031e-05,-0.003766477538132727,residual-dependence-only
5,30312801,interaction_proxy,False,False,27,0.7301587301587301,0.5669515669515671,0.3752710847655723,0.38271604938271603,-0.037037037037037056,0.13666456121025608,"hp_a,hp_c",0.8553113553113553,0.001,0.007430088251837566,0.0032521992795719106,increment-supported,0.3266178266178266,0.114,-0.0017277627763765489,-0.0032814658914262235,no-supported-increment
5,30313810,genuine_increment,True,True,27,0.5152625152625152,0.37321937321937326,0.7396040245505384,0.5802469135802469,0.1111111111111111,0.0986277146681497,hp_c,0.8431013431013431,0.001,0.032535859946878354,0.002494661031240918,increment-supported,0.8357753357753357,0.001,0.04353810467949669,-0.001988543659882495,residual-dependence-only
5,30314819,axis_specialist_proxy,False,False,27,0.8156288156288156,0.6068376068376069,-0.0447539724108801,0.2839506172839506,-0.18518518518518523,0.014187124172244395,hp_a,0.09218559218559218,0.652,-0.0008674788700087938,-0.0016939839949560282,no-supported-increment,0.04212454212454213,0.833,-0.0002906362362541555,-0.000716873169968381,no-supported-increment
5,30315828,sign_flip_increment,False,True,27,-0.052503052503052504,-0.03133903133903134,-0.3619634956884474,-0.012345679012345697,-0.2592592592592593,0.0007085765771186966,none,-0.36446886446886445,0.053,0.009888075693976657,-0.018177887910282485,no-supported-increment,-0.36996336996337,0.046,0.012189896768220156,-0.0026781378319971766,residual-dependence-only
6,30320790,independent_null,False,False,27,0.27106227106227104,0.1623931623931624,-0.12562754852118996,-0.061728395061728385,-0.1111111111111111,0.019107550217179182,none,-0.3241758241758242,0.09,-0.0008511387933446239,-0.0025494699037981895,no-supported-increment,-0.08913308913308912,0.663,-0.0010136717359850497,-0.0021771414594941507,no-supported-increment
6,30321799,design_proxy,False,False,27,0.9847374847374847,0.9202279202279204,0.5954594994552964,0.8271604938271605,0.7037037037037037,0.5019519780514512,"hp_a,hp_c",0.9139194139194139,0.001,0.001435157242446361,-0.0024432810273894456,residual-dependence-only,0.5854700854700854,0.004,-0.0020936513642681887,-0.0036472624125784303,residual-dependence-only
6,30322808,interaction_proxy,False,False,27,0.6849816849816849,0.49287749287749294,0.3856439542017306,0.30864197530864196,-0.33333333333333326,0.18312606105960277,none,0.8308913308913308,0.001,0.004272892938064642,0.0010925473768350269,increment-supported,0.4725274725274725,0.014,-0.00020823799838285036,-0.0014525557215436722,residual-dependence-only
6,30323817,genuine_increment,True,True,27,0.4126984126984126,0.264957264957265,0.7905687584528067,0.45679012345679015,0.2592592592592593,0.0512500967305484,none,0.8534798534798536,0.001,0.028649743504798836,0.014202871110724756,increment-supported,0.945054945054945,0.001,0.04349623100847539,0.016582101844429663,increment-supported
6,30324826,axis_specialist_proxy,False,False,27,0.7985347985347986,0.5954415954415955,-0.06188838264468744,0.3333333333333333,-0.1111111111111111,0.02041366638650852,hp_a,0.0586080586080586,0.747,-0.0012295321019924615,-0.002003120894582252,no-supported-increment,0.14102564102564102,0.471,-0.0002982777625500123,-0.000838024209838166,no-supported-increment
6,30325835,sign_flip_increment,False,True,27,-0.09462759462759461,-0.10541310541310543,0.18855193534617934,-0.11111111111111112,-0.2592592592592593,0.008030469040989668,none,0.11965811965811966,0.541,-0.008401771367660349,-0.022293428559218457,no-supported-increment,0.12393162393162394,0.552,0.016183783415272473,-0.0013092544766440844,no-supported-increment
7,30330797,independent_null,False,False,27,0.04395604395604395,0.00854700854700855,-0.004956366395443036,0.1851851851851852,0.037037037037037056,5.26960554657095e-05,none,-0.278998778998779,0.15,-0.0005730679070600903,-0.0015256831111720396,no-supported-increment,-0.3064713064713065,0.12,-0.0006994209984169525,-0.0016172646946494616,no-supported-increment
7,30331806,design_proxy,False,False,27,0.976190476190476,0.8974358974358976,0.49641833680530795,0.8518518518518517,0.7037037037037037,0.41177797721396864,"hp_a,hp_c",0.6648351648351648,0.001,0.0015505558946493844,-0.001438728448164621,residual-dependence-only,0.3492063492063492,0.066,-0.00020567404949039907,-0.0018958832403190996,no-supported-increment
7,30332815,interaction_proxy,False,False,27,0.7295482295482296,0.54985754985755,0.41426606234487773,0.48148148148148157,0.1851851851851852,0.21617499923482025,"hp_a,hp_c",0.8858363858363858,0.001,0.006928231417707532,0.0030375460612307534,increment-supported,0.49084249084249076,0.008,-0.0015708608729319874,-0.0036824482566559765,residual-dependence-only
7,30333824,genuine_increment,True,True,27,0.6709401709401709,0.4757834757834758,0.7252088049910975,0.5061728395061729,0.40740740740740744,0.16923660440688923,hp_b,0.788156288156288,0.001,0.014126386598642304,0.004798218387767152,increment-supported,0.9169719169719169,0.001,0.02508046185730928,0.011534955417779831,increment-supported
7,30334833,axis_specialist_proxy,False,False,27,0.8211233211233211,0.6125356125356126,-0.06399987431866815,0.28395061728395066,-0.3333333333333333,0.0535366999056826,hp_a,-0.017094017094017096,0.927,-0.00124744689842236,-0.0024343759964213685,no-supported-increment,-0.43528693528693524,0.022,-0.00010968815790476753,-0.0005208304786926825,residual-dependence-only
7,30335842,sign_flip_increment,False,True,27,-0.13003663003663005,-0.11111111111111113,-0.09820972130900138,-0.1851851851851852,-0.33333333333333337,0.005146976019778643,hp_a,-0.14346764346764346,0.456,-0.016611666563109515,-0.0558581985843697,no-supported-increment,-0.28998778998779,0.149,0.05961926412525308,0.01907613542893746,predictive-improvement-only
8,30340804,independent_null,False,False,27,-0.01587301587301587,-0.019943019943019946,-0.1616245819110463,-0.08641975308641976,-0.2592592592592593,0.00028691627396563465,none,-0.11782661782661781,0.567,-0.00018163272324378185,-0.0019272848375509332,no-supported-increment,-0.04395604395604395,0.837,0.00015163092510823636,-0.0007979522862928107,no-supported-increment
8,30341813,design_proxy,False,False,27,0.9731379731379731,0.8860398860398863,0.6441113814620766,0.7777777777777778,0.6296296296296297,0.3358352657603237,"hp_a,hp_c",0.8400488400488401,0.001,0.003815878711370336,0.0007176439478641504,increment-supported,0.68009768009768,0.001,0.0010311815781796924,-0.0004758321782196536,residual-dependence-only
8,30342822,interaction_proxy,False,False,27,0.7167277167277167,0.54985754985755,0.41740794557739935,0.43209876543209874,0.1111111111111111,0.18146066941871236,"hp_a,hp_c",0.6330891330891331,0.002,0.004791627598295975,0.00022088748218293295,increment-supported,0.12637362637362637,0.506,0.00019191737801165648,-0.0007332458626864219,no-supported-increment
8,30343831,genuine_increment,True,True,27,0.6581196581196581,0.49857549857549865,0.7699323794639552,0.5555555555555556,0.1851851851851852,0.18759493531925042,none,0.9291819291819291,0.001,0.03959554278196913,0.016364956870069624,increment-supported,0.9255189255189256,0.001,0.0392715555196921,0.012381374274446058,increment-supported
8,30344840,axis_specialist_proxy,False,False,27,0.8583638583638583,0.6581196581196582,0.037990951216899375,0.3580246913580247,-0.03703703703703703,0.002551040741445397,hp_a,0.005494505494505494,0.986,-0.00044553633648929114,-0.001307529431075134,no-supported-increment,0.2277167277167277,0.262,-5.7992180165942694e-05,-0.0008813338905521952,no-supported-increment
8,30345849,sign_flip_increment,False,True,27,0.15934065934065933,0.09401709401709403,-0.029121461983546326,0.01234567901234568,-0.1111111111111111,0.006385571799925109,none,-0.12759462759462756,0.517,-0.014742353815235879,-0.05351860476269281,no-supported-increment,0.002442002442002442,0.996,0.02705130533703822,0.012234286534254627,predictive-improvement-only
