shard,sample_size,repetition,scenario,expected_increment,nuisance_model,residual_p,delta_mse,refit_delta_mse_ci_low,joint_supported,predictive_supported
inference_shard_00,100,11,null_metric,False,polynomial_ridge,0.19,-0.0010082610688468,-0.004528364402705,False,False
inference_shard_00,100,11,null_metric,False,polynomial_ridge_interactions,0.155,-0.0004996987516593,-0.0021896480152616,False,False
inference_shard_00,100,11,nonlinear_proxy,False,polynomial_ridge,0.78,0.0002634961064732,-0.0009569494385627,False,False
inference_shard_00,100,11,nonlinear_proxy,False,polynomial_ridge_interactions,0.83,-0.0003957610450818,-0.0008172457865523,False,False
inference_shard_00,100,11,heteroskedastic_null,False,polynomial_ridge,0.38,-0.0006094353744874,-0.0026880619524024,False,False
inference_shard_00,100,11,heteroskedastic_null,False,polynomial_ridge_interactions,0.45,-0.0002663141842896,-0.0019890217079671,False,False
inference_shard_00,100,11,clustered_null,False,polynomial_ridge,0.2,-0.0140129387651451,-0.0489841918646338,False,False
inference_shard_00,100,11,clustered_null,False,polynomial_ridge_interactions,0.095,-0.0004650539809621,-0.0413009597559104,False,False
inference_shard_00,100,11,genuine_increment,True,polynomial_ridge,0.005,0.0466701312419928,0.0330230386469619,True,True
inference_shard_00,100,11,genuine_increment,True,polynomial_ridge_interactions,0.005,0.0482376766169018,0.0335804495440217,True,True
inference_shard_00,100,12,null_metric,False,polynomial_ridge,0.155,0.00087070471612,-0.0023506502494376,False,False
inference_shard_00,100,12,null_metric,False,polynomial_ridge_interactions,0.655,0.0006054121004647,-0.0015806688440003,False,False
inference_shard_00,100,12,nonlinear_proxy,False,polynomial_ridge,0.17,-0.000116939646311,-0.0015770841975404,False,False
inference_shard_00,100,12,nonlinear_proxy,False,polynomial_ridge_interactions,0.58,4.609487383022432e-05,-0.0008318237436929,False,False
inference_shard_00,100,12,heteroskedastic_null,False,polynomial_ridge,0.745,-0.0017528928069778,-0.0036413767625857,False,False
inference_shard_00,100,12,heteroskedastic_null,False,polynomial_ridge_interactions,0.87,-0.0003364480659587,-0.0011741750160399,False,False
inference_shard_00,100,12,clustered_null,False,polynomial_ridge,0.07,-0.0016211127766504,-0.1022212463895363,False,False
inference_shard_00,100,12,clustered_null,False,polynomial_ridge_interactions,0.875,-0.0078621046288704,-0.0240657235660056,False,False
inference_shard_00,100,12,genuine_increment,True,polynomial_ridge,0.005,0.0594772962727045,0.0430454935072258,True,True
inference_shard_00,100,12,genuine_increment,True,polynomial_ridge_interactions,0.005,0.061287389444824,0.0414299110049208,True,True
inference_shard_00,100,13,null_metric,False,polynomial_ridge,0.695,-0.0021719682585541,-0.0051702922575636,False,False
inference_shard_00,100,13,null_metric,False,polynomial_ridge_interactions,0.805,-0.0016823744013911,-0.002172830046752,False,False
inference_shard_00,100,13,nonlinear_proxy,False,polynomial_ridge,0.88,-0.0008104250986474,-0.0084486463666544,False,False
inference_shard_00,100,13,nonlinear_proxy,False,polynomial_ridge_interactions,0.465,-0.0001213520306481,-0.0015761606989043,False,False
inference_shard_00,100,13,heteroskedastic_null,False,polynomial_ridge,0.245,-0.0006215339845597,-0.0023201716103331,False,False
inference_shard_00,100,13,heteroskedastic_null,False,polynomial_ridge_interactions,0.205,-0.0002289138357299,-0.0012461009160307,False,False
inference_shard_00,100,13,clustered_null,False,polynomial_ridge,0.47,-0.0011425699681367,-0.0397073983894958,False,False
inference_shard_00,100,13,clustered_null,False,polynomial_ridge_interactions,0.67,-0.0019829419088253,-0.0416540869820448,False,False
inference_shard_00,100,13,genuine_increment,True,polynomial_ridge,0.02,0.0317422100099767,0.0232364575534107,True,True
inference_shard_00,100,13,genuine_increment,True,polynomial_ridge_interactions,0.01,0.0338052494905141,0.0228284954747787,True,True
inference_shard_00,100,14,null_metric,False,polynomial_ridge,0.47,-0.0028337762872646,-0.0056652131693415,False,False
inference_shard_00,100,14,null_metric,False,polynomial_ridge_interactions,0.995,-0.0011971316023461,-0.0019352475349197,False,False
inference_shard_00,100,14,nonlinear_proxy,False,polynomial_ridge,0.785,0.0002698382106605,-0.0014627533204774,False,False
inference_shard_00,100,14,nonlinear_proxy,False,polynomial_ridge_interactions,0.33,-0.0002717173511123,-0.0006324185287437,False,False
inference_shard_00,100,14,heteroskedastic_null,False,polynomial_ridge,0.08,-0.0009788993576797,-0.001836856182653,False,False
inference_shard_00,100,14,heteroskedastic_null,False,polynomial_ridge_interactions,0.08,-0.000267634139568,-0.0012838297081544,False,False
inference_shard_00,100,14,clustered_null,False,polynomial_ridge,0.49,-0.0068569854553874,-0.0776607229627155,False,False
inference_shard_00,100,14,clustered_null,False,polynomial_ridge_interactions,0.37,0.0006043631784976,-0.023882017305452,False,False
inference_shard_00,100,14,genuine_increment,True,polynomial_ridge,0.005,0.0416904404810173,0.0324302744659788,True,True
inference_shard_00,100,14,genuine_increment,True,polynomial_ridge_interactions,0.005,0.0436539124297769,0.0303916897173931,True,True
inference_shard_00,100,15,null_metric,False,polynomial_ridge,0.975,-0.0052716201209938,-0.0086211650801952,False,False
inference_shard_00,100,15,null_metric,False,polynomial_ridge_interactions,0.68,-0.0019623041093367,-0.0037701893564216,False,False
inference_shard_00,100,15,nonlinear_proxy,False,polynomial_ridge,0.93,6.025499749229626e-06,-0.0016310704707136,False,False
inference_shard_00,100,15,nonlinear_proxy,False,polynomial_ridge_interactions,0.495,-0.0003895034179588,-0.0009600275482747,False,False
inference_shard_00,100,15,heteroskedastic_null,False,polynomial_ridge,0.03,-0.000729011042519,-0.002219637534239,False,False
inference_shard_00,100,15,heteroskedastic_null,False,polynomial_ridge_interactions,0.05,-0.0002417271618938,-0.0017116720220887,False,False
inference_shard_00,100,15,clustered_null,False,polynomial_ridge,0.36,-0.0025383075607145,-0.1035408668677134,False,False
inference_shard_00,100,15,clustered_null,False,polynomial_ridge_interactions,0.33,-0.0070996170358278,-0.0992354117724286,False,False
inference_shard_00,100,15,genuine_increment,True,polynomial_ridge,0.005,0.0461938758689366,0.0340062532621294,True,True
inference_shard_00,100,15,genuine_increment,True,polynomial_ridge_interactions,0.005,0.0491673241112576,0.0367722331092371,True,True
inference_shard_00,100,16,null_metric,False,polynomial_ridge,0.975,-0.0011915280046517,-0.0040686493788631,False,False
inference_shard_00,100,16,null_metric,False,polynomial_ridge_interactions,0.705,-0.001302512915178,-0.0021094036384565,False,False
inference_shard_00,100,16,nonlinear_proxy,False,polynomial_ridge,0.51,-0.0004381766247346,-0.0024831988967288,False,False
inference_shard_00,100,16,nonlinear_proxy,False,polynomial_ridge_interactions,0.59,-0.0002659579121646,-0.0010350030085634,False,False
inference_shard_00,100,16,heteroskedastic_null,False,polynomial_ridge,1.0,0.0002801949600229,-0.0008440158429583,False,False
inference_shard_00,100,16,heteroskedastic_null,False,polynomial_ridge_interactions,0.855,6.708488760583456e-05,-0.0008206452459252,False,False
inference_shard_00,100,16,clustered_null,False,polynomial_ridge,0.005,-0.0036458779042092,-0.0519357737066556,False,False
inference_shard_00,100,16,clustered_null,False,polynomial_ridge_interactions,0.25,-0.0056226277414054,-0.0253057313195834,False,False
inference_shard_00,100,16,genuine_increment,True,polynomial_ridge,0.005,0.0385576104226642,0.0223470909564968,True,True
inference_shard_00,100,16,genuine_increment,True,polynomial_ridge_interactions,0.005,0.0439173647094659,0.0214827063738786,True,True
