shard,structure,repetition,independence_units,residual_r,residual_p,rejected_05
inference_shard_00,homoskedastic,156,200,-0.018172954323858,0.809,False
inference_shard_00,homoskedastic,157,200,0.1006398037350268,0.15,False
inference_shard_00,homoskedastic,158,200,0.2177042742459743,0.004,True
inference_shard_00,homoskedastic,159,200,0.0500382697210977,0.493,False
inference_shard_00,homoskedastic,160,200,-0.1442676066901672,0.045,True
inference_shard_00,homoskedastic,161,200,-0.0812728122976177,0.258,False
inference_shard_00,homoskedastic,162,200,0.0262776667957967,0.714,False
inference_shard_00,homoskedastic,163,200,-0.0107545228960192,0.887,False
inference_shard_00,homoskedastic,164,200,-0.0674281857046426,0.356,False
inference_shard_00,homoskedastic,165,200,0.0493932348308707,0.488,False
inference_shard_00,homoskedastic,166,200,0.1233931311007103,0.105,False
inference_shard_00,homoskedastic,167,200,0.0873525320849068,0.234,False
inference_shard_00,homoskedastic,168,200,0.0648226205655141,0.354,False
inference_shard_00,homoskedastic,169,200,-0.0270201856372124,0.696,False
inference_shard_00,homoskedastic,170,200,0.0196714917872946,0.762,False
inference_shard_00,homoskedastic,171,200,0.0306397659941498,0.689,False
inference_shard_00,homoskedastic,172,200,-0.0008010200255006,0.994,False
inference_shard_00,homoskedastic,173,200,-0.106880712098077,0.148,False
inference_shard_00,homoskedastic,174,200,-0.0265836745607438,0.725,False
inference_shard_00,homoskedastic,175,200,-0.0674971874296857,0.358,False
inference_shard_00,homoskedastic,176,200,0.0579712210197374,0.405,False
inference_shard_00,homoskedastic,177,200,-0.0124908122703067,0.852,False
inference_shard_00,homoskedastic,178,200,0.0794449861246531,0.271,False
inference_shard_00,homoskedastic,179,200,0.0152898822470561,0.844,False
inference_shard_00,homoskedastic,180,200,0.1405048153096983,0.054,False
inference_shard_00,homoskedastic,181,200,-0.0907523028396909,0.224,False
inference_shard_00,homoskedastic,182,200,0.1200360909293752,0.083,False
inference_shard_00,homoskedastic,183,200,0.0099857533884929,0.896,False
inference_shard_00,homoskedastic,184,200,0.028257706442661,0.695,False
inference_shard_00,homoskedastic,185,200,0.0088742251834646,0.917,False
inference_shard_00,homoskedastic,186,200,0.1598634965874147,0.022,True
inference_shard_00,homoskedastic,187,200,-0.0568979437853275,0.414,False
inference_shard_00,homoskedastic,188,200,0.0688862479885475,0.336,False
inference_shard_00,homoskedastic,189,200,-0.0278392064198648,0.707,False
inference_shard_00,homoskedastic,190,200,0.1016110402760069,0.146,False
inference_shard_00,homoskedastic,191,200,0.0706660431508499,0.318,False
inference_shard_00,homoskedastic,192,200,0.0088757218930473,0.896,False
inference_shard_00,homoskedastic,193,200,0.0487782194554863,0.533,False
inference_shard_00,homoskedastic,194,200,0.045593639840996,0.534,False
inference_shard_00,homoskedastic,195,200,-0.0738326235028265,0.31,False
inference_shard_00,homoskedastic,196,200,0.1441469077277937,0.033,True
inference_shard_00,homoskedastic,197,200,0.1432903859935546,0.054,False
inference_shard_00,homoskedastic,198,200,-0.0045436135903397,0.945,False
inference_shard_00,homoskedastic,199,200,0.0052546313657841,0.942,False
inference_shard_00,homoskedastic,200,200,0.0694742368559214,0.349,False
inference_shard_00,homoskedastic,201,200,0.0140028553224547,0.842,False
inference_shard_00,homoskedastic,202,200,0.0979398086775085,0.186,False
inference_shard_00,homoskedastic,203,200,-0.0796174904372609,0.267,False
inference_shard_00,homoskedastic,204,200,-0.0408970377623361,0.566,False
inference_shard_00,homoskedastic,205,200,0.104920123003075,0.144,False
inference_shard_00,homoskedastic,206,200,0.0028035700892522,0.976,False
inference_shard_00,homoskedastic,207,200,-0.1352899329820589,0.058,False
inference_shard_00,homoskedastic,208,200,-0.1383875115831161,0.054,False
inference_shard_00,homoskedastic,209,200,-0.0463781768462407,0.515,False
inference_shard_00,homoskedastic,210,200,0.1335596390758509,0.078,False
inference_shard_00,homoskedastic,211,200,-0.0628350708767719,0.378,False
inference_shard_00,homoskedastic,212,200,-0.0184692186564247,0.777,False
inference_shard_00,homoskedastic,213,200,0.0611100506675399,0.387,False
inference_shard_00,homoskedastic,214,200,-0.0113267916648885,0.874,False
inference_shard_00,homoskedastic,215,200,-0.0789080022905636,0.267,False
inference_shard_00,homoskedastic,216,200,-0.0650431504699477,0.376,False
inference_shard_00,homoskedastic,217,200,-0.1053221330533263,0.136,False
