scope,baseline,candidate_id,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,predictive_support_count,predictive_support_rate,predictive_wilson_95_low,predictive_wilson_95_high,joint_support_count,joint_support_rate,joint_wilson_95_low,joint_wilson_95_high
image,B1_design,interactions_d6,interaction_proxy_null,0.8,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,1,0.01,0.0017674320641406505,0.054486196178705315
image,B1_design,interactions_d6,nonlinear_proxy_null,0.3,0.0,100,100,1.0,10,0.1,0.0552291370606751,0.17436566150491345,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,interactions_d6,nonlinear_proxy_null,0.8,0.0,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,3,0.03,0.010254524024038925,0.0845193642905276
image,B2_training_state,additive_d4,additive_proxy_null,0.3,0.0,100,100,1.0,8,0.08,0.041093461484380624,0.14998107700948735,3,0.03,0.010254524024038925,0.0845193642905276
image,B2_training_state,additive_d4,additive_proxy_null,0.8,0.0,100,100,1.0,14,0.14,0.08526343659939134,0.22137188210963837,2,0.02,0.00550196755016235,0.07001179072854388
image,B2_training_state,additive_d4,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,41,0.41,0.3186731302113651,0.5079856994658921,33,0.33,0.24563122734128034,0.4269465620490947
image,B2_training_state,additive_d4,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,41,0.41,0.3186731302113651,0.5079856994658921,34,0.34,0.25461520797348164,0.43722271145275377
image,B2_training_state,additive_d4,independent_null,0.3,0.0,100,100,1.0,15,0.15,0.0930598528365663,0.23283559590832364,3,0.03,0.010254524024038925,0.0845193642905276
image,B2_training_state,additive_d4,independent_null,0.8,0.0,100,100,1.0,16,0.16,0.10095288488804782,0.24420269389270244,1,0.01,0.0017674320641406505,0.054486196178705315
image,B2_training_state,additive_d4,interaction_increment,0.3,0.2,100,100,1.0,49,0.49,0.3942199893044113,0.5865198806597283,45,0.45,0.3561453797951198,0.5475539700255787
image,B2_training_state,additive_d4,interaction_increment,0.3,0.35,100,100,1.0,66,0.66,0.5627772885472462,0.7453847920265184,62,0.62,0.5220975529551107,0.7090240074752127
image,B2_training_state,additive_d4,interaction_increment,0.3,0.5,100,100,1.0,74,0.74,0.6462901055081282,0.8159530153525186,69,0.69,0.5937394428051057,0.7722030278762395
image,B2_training_state,additive_d4,interaction_increment,0.8,0.2,100,100,1.0,68,0.68,0.5833738138954762,0.7633085267500092,62,0.62,0.5220975529551107,0.7090240074752127
image,B2_training_state,additive_d4,interaction_increment,0.8,0.35,100,100,1.0,81,0.81,0.7222115462093562,0.8748524849023126,76,0.76,0.6676766365018553,0.8330867444305122
image,B2_training_state,additive_d4,interaction_increment,0.8,0.5,100,100,1.0,96,0.96,0.9016292856411208,0.9843366960084523,95,0.95,0.8882495307680808,0.9784563208456319
image,B2_training_state,additive_d4,interaction_proxy_null,0.3,0.0,100,100,1.0,35,0.35,0.26364248243097527,0.44745556703112027,27,0.27,0.1926958414957634,0.36432116767944994
image,B2_training_state,additive_d4,interaction_proxy_null,0.8,0.0,100,100,1.0,31,0.31,0.22779697212376038,0.40626055719489407,20,0.2,0.1333669333310325,0.2888291655931589
image,B2_training_state,additive_d4,nonlinear_proxy_null,0.3,0.0,100,100,1.0,12,0.12,0.06999406437019488,0.19812099426711421,4,0.04,0.01566330399154762,0.0983707143588792
image,B2_training_state,additive_d4,nonlinear_proxy_null,0.8,0.0,100,100,1.0,11,0.11,0.06254196357064568,0.18631296503080313,3,0.03,0.010254524024038925,0.0845193642905276
image,B2_training_state,additive_d6,additive_proxy_null,0.3,0.0,100,100,1.0,10,0.1,0.0552291370606751,0.17436566150491345,4,0.04,0.01566330399154762,0.0983707143588792
image,B2_training_state,additive_d6,additive_proxy_null,0.8,0.0,100,100,1.0,5,0.05,0.02154367915436796,0.11175046923191913,1,0.01,0.0017674320641406505,0.054486196178705315
image,B2_training_state,additive_d6,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,33,0.33,0.24563122734128034,0.4269465620490947,18,0.18,0.1170022549894635,0.2666735838630073
image,B2_training_state,additive_d6,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,30,0.3,0.2189488529493276,0.3958485463334666,19,0.19,0.12514751509768735,0.27778845379064376
image,B2_training_state,additive_d6,independent_null,0.3,0.0,100,100,1.0,16,0.16,0.10095288488804782,0.24420269389270244,5,0.05,0.02154367915436796,0.11175046923191913
image,B2_training_state,additive_d6,independent_null,0.8,0.0,100,100,1.0,21,0.21,0.141656540619153,0.29979968834089865,7,0.07,0.03431926106727268,0.137495147390735
image,B2_training_state,additive_d6,interaction_increment,0.3,0.2,100,100,1.0,44,0.44,0.34672026630160796,0.5377189534832302,37,0.37,0.28182360534324524,0.4677947041905709
image,B2_training_state,additive_d6,interaction_increment,0.3,0.35,100,100,1.0,64,0.64,0.5423540245160874,0.7272877959859567,61,0.61,0.5120301704584073,0.6998312599360558
image,B2_training_state,additive_d6,interaction_increment,0.3,0.5,100,100,1.0,64,0.64,0.5423540245160874,0.7272877959859567,63,0.63,0.5322052958094291,0.7181763946567546
image,B2_training_state,additive_d6,interaction_increment,0.8,0.2,100,100,1.0,60,0.6,0.5020025867910618,0.6905987135675411,55,0.55,0.45244602997442135,0.6438546202048803
image,B2_training_state,additive_d6,interaction_increment,0.8,0.35,100,100,1.0,66,0.66,0.5627772885472462,0.7453847920265184,61,0.61,0.5120301704584073,0.6998312599360558
image,B2_training_state,additive_d6,interaction_increment,0.8,0.5,100,100,1.0,83,0.83,0.7445199523239887,0.8910643388594006,83,0.83,0.7445199523239887,0.8910643388594006
image,B2_training_state,additive_d6,interaction_proxy_null,0.3,0.0,100,100,1.0,28,0.28,0.20139685211186212,0.3748802870992116,25,0.25,0.17545211362287672,0.34304463548061603
