design_scope,baseline,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,support_count,support_rate,support_wilson_95_low,support_wilson_95_high,positive_support_count,positive_support_rate,positive_support_wilson_95_low,positive_support_wilson_95_high
text,B2_training_state,interaction_increment,0.8,0.35,100,100,1.0,98,0.98,0.929988209271456,0.9944980324498376,98,0.98,0.929988209271456,0.9944980324498376
text,B2_training_state,interaction_increment,0.8,0.5,100,100,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0
text,B2_training_state,interaction_proxy_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
text,B2_training_state,interaction_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B2_training_state,nonlinear_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B2_training_state,nonlinear_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B3_validation,additive_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B3_validation,additive_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B3_validation,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
text,B3_validation,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B3_validation,independent_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B3_validation,independent_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B3_validation,interaction_increment,0.3,0.2,100,100,1.0,34,0.34,0.25461520797348164,0.43722271145275377,34,0.34,0.25461520797348164,0.43722271145275377
text,B3_validation,interaction_increment,0.3,0.35,100,100,1.0,76,0.76,0.6676766365018553,0.8330867444305122,76,0.76,0.6676766365018553,0.8330867444305122
text,B3_validation,interaction_increment,0.3,0.5,100,100,1.0,95,0.95,0.8882495307680808,0.9784563208456319,95,0.95,0.8882495307680808,0.9784563208456319
text,B3_validation,interaction_increment,0.8,0.2,100,100,1.0,54,0.54,0.44264860323368227,0.6343919169097589,54,0.54,0.44264860323368227,0.6343919169097589
text,B3_validation,interaction_increment,0.8,0.35,100,100,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0
text,B3_validation,interaction_increment,0.8,0.5,100,100,1.0,100,1.0,0.9630065017930143,1.0,100,1.0,0.9630065017930143,1.0
text,B3_validation,interaction_proxy_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
text,B3_validation,interaction_proxy_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B3_validation,nonlinear_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
text,B3_validation,nonlinear_proxy_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
