reliability_tier,quantile,source_metric,icc,baseline,beta,repetition,csv,refit_bootstrap,permutations,degree,simulation_seed,analysis_seed,nuisance_model,status,delta_mse,residual_p,refit_delta_mse_ci_low,refit_delta_mse_ci_high,predictive_supported,joint_supported
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,30,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,323269819,3050269819,polynomial_ridge,estimated,-4.483275870983397e-06,0.24,-0.0015035955579265389,0.0006186228493313223,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,30,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,323269819,3050269819,polynomial_ridge_interactions,estimated,-4.17852214438302e-05,0.54,-0.018808952325460548,0.0006653808345189178,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,31,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,323369822,3051269822,polynomial_ridge,estimated,0.00014777525105783484,0.04,-0.0010451409790257992,0.0009137321968261718,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,31,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,323369822,3051269822,polynomial_ridge_interactions,estimated,-9.241925382188305e-05,0.27,-0.02427776158254337,0.0011810475205892381,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,32,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,323469825,3052269825,polynomial_ridge,estimated,-9.38961869950258e-05,0.29,-0.001014973360990641,0.000763741904205175,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,32,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,323469825,3052269825,polynomial_ridge_interactions,estimated,-0.0016534515518400875,0.75,-0.0166506911928976,0.0006335704968348901,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,33,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,323569828,3053269828,polynomial_ridge,estimated,-8.810423491146992e-05,0.71,-0.0010106646171561837,0.0005778770243916099,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,33,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,323569828,3053269828,polynomial_ridge_interactions,estimated,-0.001295339887415582,0.49,-0.018415144872736742,0.00032960727701386025,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,34,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,323669831,3054269831,polynomial_ridge,estimated,-0.00021736542417194406,0.98,-0.00144118484425493,0.00041065823339088615,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,34,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,323669831,3054269831,polynomial_ridge_interactions,estimated,-0.0007490991290696502,0.31,-0.020122975707700077,0.0004806559840590895,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,35,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,323769834,3055269834,polynomial_ridge,estimated,-0.00012257264964954774,0.99,-0.00122649680867853,0.00024336629014649747,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,35,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,323769834,3055269834,polynomial_ridge_interactions,estimated,-0.0004271347744166181,0.82,-0.01258293635803946,0.0008184808128074371,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,36,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,323869837,3056269837,polynomial_ridge,estimated,-9.873153283807739e-05,0.85,-0.0010740857479760437,0.0008219819885490042,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,36,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,323869837,3056269837,polynomial_ridge_interactions,estimated,-0.0010912311242402928,0.18,-0.01683415296103687,0.0012763494280102815,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,37,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,323969840,3057269840,polynomial_ridge,estimated,-0.00016554346601592765,0.91,-0.0009715550765561924,0.0008849499708450171,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,37,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,323969840,3057269840,polynomial_ridge_interactions,estimated,-0.0008906612681523259,0.36,-0.02036748729729534,0.0023534694064182185,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,38,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,324069843,3058269843,polynomial_ridge,estimated,-0.0002696221558326705,0.83,-0.0013851186997715782,0.00044598847230142673,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,38,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,324069843,3058269843,polynomial_ridge_interactions,estimated,-0.0002512547025909271,0.7,-0.013547304292147198,0.000939080539263997,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,39,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,324169846,3059269846,polynomial_ridge,estimated,-8.154345680335372e-05,0.62,-0.0008405962853923305,0.0010921947796361236,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,39,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,324169846,3059269846,polynomial_ridge_interactions,estimated,0.00021881862459885394,0.19,-0.02615367668933039,0.0007141773529483258,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,40,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,324269849,3060269849,polynomial_ridge,estimated,9.64928776183544e-05,0.5,-0.001247426287564032,0.0008037957984291187,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,40,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,324269849,3060269849,polynomial_ridge_interactions,estimated,-0.0008400617034024485,0.47,-0.019719429889625634,0.0003359919983680119,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,41,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,324369852,3061269852,polynomial_ridge,estimated,-0.00016336705833903216,0.31,-0.0013786740472112047,0.0011720459491514935,False,False
