reliability_tier,quantile,source_metric,icc,baseline,beta,repetition,csv,refit_bootstrap,permutations,simulation_seed,analysis_seed,nuisance_model,status,delta_mse,residual_p,refit_delta_mse_ci_low,refit_delta_mse_ci_high,predictive_supported,joint_supported
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,19,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,322169786,3039269786,polynomial_ridge_interactions,estimated,-0.001484383175923676,0.23,-0.01682967680043018,0.0017779327049126962,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,20,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,322269789,3040269789,polynomial_ridge,estimated,-0.00019765310054299873,0.99,-0.0018223697919276885,0.0012074584274596278,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,20,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,322269789,3040269789,polynomial_ridge_interactions,estimated,-0.000987715536159619,0.85,-0.027018133794908136,0.0006976750742523474,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,21,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,322369792,3041269792,polynomial_ridge,estimated,-0.00017303890368206053,0.17,-0.001984955096554307,0.0008546422132025854,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,21,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,322369792,3041269792,polynomial_ridge_interactions,estimated,-0.00011054527501680109,0.09,-0.019246164914890816,0.002675747667449599,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,22,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,322469795,3042269795,polynomial_ridge,estimated,-0.00040416835141657064,0.69,-0.0022690560576678846,0.001019035220851894,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,22,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,322469795,3042269795,polynomial_ridge_interactions,estimated,-0.0002166297011684604,0.01,-0.02300406885052233,0.0006309464133371599,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,23,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,322569798,3043269798,polynomial_ridge,estimated,-0.00045880076344176476,0.54,-0.002623225725540487,0.0008775608302796055,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,23,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,322569798,3043269798,polynomial_ridge_interactions,estimated,-0.0026644833076162927,0.02,-0.038879871690260207,0.0010935641566260147,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,24,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,322669801,3044269801,polynomial_ridge,estimated,-0.00029353991063837937,0.39,-0.0017909362147544466,0.0012099321138426126,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,24,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,322669801,3044269801,polynomial_ridge_interactions,estimated,-0.0014565166661233853,0.95,-0.021833262675482235,0.0008066942513793762,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,25,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,322769804,3045269804,polynomial_ridge,estimated,-0.0006291407789850672,0.77,-0.0017710389283676245,0.0005100924031773912,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,25,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,322769804,3045269804,polynomial_ridge_interactions,estimated,-0.0001513928175036368,0.48,-0.014283735301748058,0.0013891992798455086,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,26,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,322869807,3046269807,polynomial_ridge,estimated,-0.0003407930694748051,0.96,-0.0022580111128477423,0.0008757544102559033,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,26,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,322869807,3046269807,polynomial_ridge_interactions,estimated,-0.0003701126969341106,0.8,-0.022845525411595277,0.0011496429803209164,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,27,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,322969810,3047269810,polynomial_ridge,estimated,-0.0003033586613046459,0.58,-0.0015836454077801355,0.0014378713205828917,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,27,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,322969810,3047269810,polynomial_ridge_interactions,estimated,-0.0005177974878720032,0.88,-0.012386453339204139,0.0009924725365424735,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,28,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,323069813,3048269813,polynomial_ridge,estimated,-7.000120623942797e-05,0.36,-0.0020100556330509365,0.001168714741612837,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,28,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,323069813,3048269813,polynomial_ridge_interactions,estimated,-5.775541092349276e-05,0.08,-0.02887710825423442,0.0006933674806118712,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,29,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,323169816,3049269816,polynomial_ridge,estimated,-0.0008120456801861743,0.48,-0.0027132499166890828,0.0013986498167022137,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,29,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,323169816,3049269816,polynomial_ridge_interactions,estimated,-0.00039561156334928186,0.02,-0.023145791970662515,0.001077645550720298,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,30,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,323269819,3050269819,polynomial_ridge,estimated,-0.00015657086448117585,0.24,-0.0019258735957909782,0.0009753006058921832,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,30,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,323269819,3050269819,polynomial_ridge_interactions,estimated,-4.177671682771165e-05,0.54,-0.018810577548910995,0.0006649866404127146,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,31,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,323369822,3051269822,polynomial_ridge,estimated,7.3782651666006414e-06,0.04,-0.001974865044555423,0.0011509535424949798,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,31,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,323369822,3051269822,polynomial_ridge_interactions,estimated,-9.29263817791516e-05,0.27,-0.024315572198221645,0.0011790564437739542,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,32,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,323469825,3052269825,polynomial_ridge,estimated,-0.0005946500871809733,0.29,-0.0017472963146666837,0.0010617884232156983,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,32,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,323469825,3052269825,polynomial_ridge_interactions,estimated,-0.0016531054903412296,0.75,-0.016683672861905335,0.0006329405926494265,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,33,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,323569828,3053269828,polynomial_ridge,estimated,-0.0005238734054014711,0.71,-0.001775523930059363,0.0010583363828978165,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,33,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,323569828,3053269828,polynomial_ridge_interactions,estimated,-0.0012954577185147187,0.49,-0.018427831825705798,0.0003294668054298118,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,34,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,323669831,3054269831,polynomial_ridge,estimated,-0.00029611705979803093,0.98,-0.0018089960821122157,0.0008384591163884515,False,False
