scope,baseline,candidate_id,scenario,icc,beta,repetition,wild_draws,status,n_groups,stable_positive,positive_split_count,maximum_orthogonal_wild_p,minimum_orthogonal_score_mean
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,5,999,estimated,48,True,3,0.001,0.03830431605800508
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,6,999,estimated,48,True,3,0.006,0.047580174348192256
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,7,999,estimated,48,False,0,0.661,0.007885538426582921
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,8,999,estimated,48,False,0,0.343,0.012168555656052744
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,9,999,estimated,48,False,0,0.157,0.016435878305738203
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,10,999,estimated,48,False,0,0.805,-0.0033618059474433653
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,11,999,estimated,48,False,0,0.5,-0.008083880671496511
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,12,999,estimated,48,False,0,0.558,0.005396175100425592
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,13,999,estimated,48,True,3,0.001,0.04231978464986419
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,14,999,estimated,48,False,0,0.459,0.013055821152124432
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,15,999,estimated,48,False,0,0.705,0.004282796294434681
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,16,999,estimated,48,False,0,0.079,0.022389898577853156
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,17,999,estimated,48,False,2,0.014,0.03862314994613652
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,18,999,estimated,48,False,0,0.558,0.011222735688752922
image48,B1_design,d2_r01_repeat3_a01,increment,0.3,0.5,19,999,estimated,48,False,2,0.033,0.03402929319161716
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,0,999,estimated,48,False,0,0.217,0.016178121941335246
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,1,999,estimated,48,True,3,0.004,0.06975011654553775
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,2,999,estimated,48,False,1,0.093,0.022899256789911424
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,3,999,estimated,48,False,0,0.872,-0.016878123507115518
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,4,999,estimated,48,False,2,0.026,0.030422366205089073
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,5,999,estimated,48,False,0,0.777,-0.006235312897209688
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,6,999,estimated,48,True,3,0.002,0.03559782734059918
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,7,999,estimated,48,True,3,0.002,0.04240728144752945
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,8,999,estimated,48,False,0,0.959,-0.03181575776661044
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,9,999,estimated,48,True,3,0.001,0.054900702364134656
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,10,999,estimated,48,True,3,0.01,0.0460465737708279
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,11,999,estimated,48,True,3,0.004,0.05905674215137754
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,12,999,estimated,48,False,0,0.866,-0.008660717776209527
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,13,999,estimated,48,True,3,0.004,0.047727575261597016
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,14,999,estimated,48,False,0,0.998,-3.371417944377184e-05
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,15,999,estimated,48,True,3,0.01,0.04926801168113656
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,16,999,estimated,48,False,0,0.414,-0.013820101751876332
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,17,999,estimated,48,False,1,0.81,-0.0033412442048840613
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,18,999,estimated,48,False,0,0.868,-0.0076034653832042
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.35,19,999,estimated,48,False,0,0.661,-0.007309940031268752
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,0,999,estimated,48,True,3,0.007,0.02800670718901645
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,1,999,estimated,48,False,1,0.169,0.02110832561791938
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,2,999,estimated,48,False,2,0.044,0.043612825829657385
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,3,999,estimated,48,False,1,0.052,0.03380352757376633
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,4,999,estimated,48,False,1,0.217,0.030455097385260782
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,5,999,estimated,48,False,2,0.038,0.030408012123236114
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,6,999,estimated,48,True,3,0.001,0.10320357312959345
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,7,999,estimated,48,False,1,0.092,0.022955114525214353
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,8,999,estimated,48,False,0,0.473,0.008597403763960435
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,9,999,estimated,48,False,0,0.116,0.018053422690286074
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,10,999,estimated,48,False,2,0.054,0.024011565420155076
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,11,999,estimated,48,False,2,0.1,0.026303968918662338
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,12,999,estimated,48,True,3,0.001,0.06963454515298
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,13,999,estimated,48,False,2,0.021,0.04360869290716591
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,14,999,estimated,48,False,1,0.044,0.04093828044287121
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,15,999,estimated,48,True,3,0.001,0.08376443513902454
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,16,999,estimated,48,True,3,0.003,0.03560302305103414
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,17,999,estimated,48,False,0,0.812,0.0030673605705041304
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,18,999,estimated,48,False,0,0.73,0.004555126461191308
image48,B1_design,d2_r01_repeat3_a01,increment,0.8,0.5,19,999,estimated,48,False,1,0.196,0.023751883413545092
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,0,999,estimated,48,False,0,0.838,-0.002738198724133417
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,1,999,estimated,48,False,0,0.601,-0.020513240436299606
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,2,999,estimated,48,False,0,0.209,0.01994893031518663
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,3,999,estimated,48,False,0,0.05,0.027117506884219888
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,4,999,estimated,48,False,0,0.749,0.0034196832222581387
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,5,999,estimated,48,False,0,0.101,-0.08684908536622075
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,6,999,estimated,48,False,0,0.954,-0.001299266274507963
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,7,999,estimated,48,False,0,0.766,-0.007793570799898321
image48,B1_design,d2_r01_repeat3_a01,independent_null,0.3,0.0,8,999,estimated,48,False,0,0.917,-0.0017969673018563444
