protocol_id,baseline,candidate_id,scenario,reliability,beta,repetition,wild_draws,status,n_groups,orthogonal_wild_p,orthogonal_score_mean,positive_supported,supported
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.8,0.0,6,999,estimated,240,0.763,0.0011621558022589375,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.8,0.0,7,999,estimated,240,0.188,-0.006208653339457735,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.8,0.0,8,999,estimated,240,0.33,0.0035151968473950035,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.8,0.0,9,999,estimated,240,0.539,0.002795589473747605,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.8,0.0,10,999,estimated,240,0.194,-0.005250672958061456,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.8,0.0,11,999,estimated,240,0.775,0.0010971518897905763,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.8,0.0,12,999,estimated,240,0.868,0.0006076796397210042,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.8,0.0,13,999,estimated,240,0.846,0.0006682976527913972,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.8,0.0,14,999,estimated,240,0.181,0.006510692241420266,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.8,0.0,15,999,estimated,240,0.124,0.007059965601401467,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.8,0.0,16,999,estimated,240,0.596,-0.002847009471241598,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.8,0.0,17,999,estimated,240,0.672,0.00178134794873384,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.8,0.0,18,999,estimated,240,0.071,0.00816625080474803,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.8,0.0,19,999,estimated,240,0.69,-0.0018336852698617684,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.3,0.0,0,999,estimated,240,0.638,-0.0022749343015988346,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.3,0.0,1,999,estimated,240,0.667,-0.00214946374438566,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.3,0.0,2,999,estimated,240,0.119,0.007172190617006265,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.3,0.0,3,999,estimated,240,0.104,-0.009053535168534186,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.3,0.0,4,999,estimated,240,0.082,0.01088464745505701,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.3,0.0,5,999,estimated,240,0.746,0.0017390522410826105,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.3,0.0,6,999,estimated,240,0.13,0.0074175921414002055,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.3,0.0,7,999,estimated,240,0.036,0.011310121637101376,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.3,0.0,8,999,estimated,240,0.02,0.012292275605523232,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.3,0.0,9,999,estimated,240,0.537,-0.0035742241734822637,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.3,0.0,10,999,estimated,240,0.359,0.004891666789333326,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.3,0.0,11,999,estimated,240,0.383,-0.005458056903572513,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.3,0.0,12,999,estimated,240,0.527,-0.003765266616388614,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.3,0.0,13,999,estimated,240,0.068,-0.009602149280405436,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.3,0.0,14,999,estimated,240,0.34,-0.005122815919730993,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.3,0.0,15,999,estimated,240,0.836,-0.0010694405313876928,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.3,0.0,16,999,estimated,240,0.402,0.004364917616026541,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.3,0.0,17,999,estimated,240,0.062,-0.009790432856204947,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.3,0.0,18,999,estimated,240,0.344,-0.005696395875907337,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.3,0.0,19,999,estimated,240,0.203,-0.005940171981346559,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.8,0.0,0,999,estimated,240,0.808,-0.0011485628600514006,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,independent_null,0.8,0.0,1,999,estimated,240,0.017,0.01244732055024648,False,False
