design_scope,panels,n_groups,baseline,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,support_count,support_rate,support_wilson_95_low,support_wilson_95_high,positive_support_count,positive_support_rate,positive_support_wilson_95_low,positive_support_wilson_95_high
image,4,192,B2_training_state,independent_null,0.3,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,4,192,B2_training_state,independent_null,0.8,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,4,192,B2_training_state,interaction_increment,0.3,0.2,50,50,1.0,21,0.42,0.2937500335471198,0.5576655823142176,21,0.42,0.2937500335471198,0.5576655823142176
image,4,192,B2_training_state,interaction_increment,0.3,0.35,50,50,1.0,43,0.86,0.7381380628941446,0.9304916657298371,43,0.86,0.7381380628941446,0.9304916657298371
image,4,192,B2_training_state,interaction_increment,0.3,0.5,50,50,1.0,50,1.0,0.9286524008666414,1.0,50,1.0,0.9286524008666414,1.0
image,4,192,B2_training_state,interaction_increment,0.8,0.2,50,50,1.0,34,0.68,0.5418970269185592,0.7924178373934316,34,0.68,0.5418970269185592,0.7924178373934316
image,4,192,B2_training_state,interaction_increment,0.8,0.35,50,50,1.0,50,1.0,0.9286524008666414,1.0,50,1.0,0.9286524008666414,1.0
image,4,192,B2_training_state,interaction_increment,0.8,0.5,50,50,1.0,50,1.0,0.9286524008666414,1.0,50,1.0,0.9286524008666414,1.0
image,4,192,B2_training_state,interaction_proxy_null,0.3,0.0,50,50,1.0,2,0.04,0.011038884327619805,0.1346009068750702,2,0.04,0.011038884327619805,0.1346009068750702
image,4,192,B2_training_state,interaction_proxy_null,0.8,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,4,192,B2_training_state,nonlinear_proxy_null,0.3,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,4,192,B2_training_state,nonlinear_proxy_null,0.8,0.0,50,50,1.0,2,0.04,0.011038884327619805,0.1346009068750702,1,0.02,0.003539259271646236,0.10495443589637815
image,4,192,B3_validation,additive_proxy_null,0.3,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,4,192,B3_validation,additive_proxy_null,0.8,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,4,192,B3_validation,heteroskedastic_proxy_null,0.3,0.0,50,50,1.0,5,0.1,0.04347576493189041,0.21360231437479654,5,0.1,0.04347576493189041,0.21360231437479654
image,4,192,B3_validation,heteroskedastic_proxy_null,0.8,0.0,50,50,1.0,2,0.04,0.011038884327619805,0.1346009068750702,2,0.04,0.011038884327619805,0.1346009068750702
image,4,192,B3_validation,independent_null,0.3,0.0,50,50,1.0,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0.003539259271646236,0.10495443589637815
image,4,192,B3_validation,independent_null,0.8,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
image,4,192,B3_validation,interaction_increment,0.3,0.2,50,50,1.0,34,0.68,0.5418970269185592,0.7924178373934316,34,0.68,0.5418970269185592,0.7924178373934316
image,4,192,B3_validation,interaction_increment,0.3,0.35,50,50,1.0,45,0.9,0.7863976856252035,0.9565242350681096,45,0.9,0.7863976856252035,0.9565242350681096
image,4,192,B3_validation,interaction_increment,0.3,0.5,50,50,1.0,50,1.0,0.9286524008666414,1.0,50,1.0,0.9286524008666414,1.0
image,4,192,B3_validation,interaction_increment,0.8,0.2,50,50,1.0,38,0.76,0.6258731624205708,0.8570260860300828,38,0.76,0.6258731624205708,0.8570260860300828
image,4,192,B3_validation,interaction_increment,0.8,0.35,50,50,1.0,50,1.0,0.9286524008666414,1.0,50,1.0,0.9286524008666414,1.0
image,4,192,B3_validation,interaction_increment,0.8,0.5,50,50,1.0,50,1.0,0.9286524008666414,1.0,50,1.0,0.9286524008666414,1.0
image,4,192,B3_validation,interaction_proxy_null,0.3,0.0,50,50,1.0,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0.003539259271646236,0.10495443589637815
image,4,192,B3_validation,interaction_proxy_null,0.8,0.0,50,50,1.0,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0.003539259271646236,0.10495443589637815
image,4,192,B3_validation,nonlinear_proxy_null,0.3,0.0,50,50,1.0,2,0.04,0.011038884327619805,0.1346009068750702,0,0.0,6.938893903907228e-18,0.07134759913335872
image,4,192,B3_validation,nonlinear_proxy_null,0.8,0.0,50,50,1.0,1,0.02,0.003539259271646236,0.10495443589637815,0,0.0,6.938893903907228e-18,0.07134759913335872
text,1,24,B1_design,additive_proxy_null,0.3,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
text,1,24,B1_design,additive_proxy_null,0.8,0.0,50,50,1.0,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0.003539259271646236,0.10495443589637815
text,1,24,B1_design,heteroskedastic_proxy_null,0.3,0.0,50,50,1.0,3,0.06,0.02061497034897397,0.16217091688838173,3,0.06,0.02061497034897397,0.16217091688838173
text,1,24,B1_design,heteroskedastic_proxy_null,0.8,0.0,50,50,1.0,1,0.02,0.003539259271646236,0.10495443589637815,1,0.02,0.003539259271646236,0.10495443589637815
text,1,24,B1_design,independent_null,0.3,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
text,1,24,B1_design,independent_null,0.8,0.0,50,50,1.0,0,0.0,6.938893903907228e-18,0.07134759913335872,0,0.0,6.938893903907228e-18,0.07134759913335872
text,1,24,B1_design,interaction_increment,0.3,0.2,50,50,1.0,4,0.08,0.03154951408859298,0.18838246918342838,4,0.08,0.03154951408859298,0.18838246918342838
text,1,24,B1_design,interaction_increment,0.3,0.35,50,50,1.0,7,0.14,0.06950833427016294,0.2618619371058554,7,0.14,0.06950833427016294,0.2618619371058554
text,1,24,B1_design,interaction_increment,0.3,0.5,50,50,1.0,15,0.3,0.19103553500880954,0.437503504644534,15,0.3,0.19103553500880954,0.437503504644534
text,1,24,B1_design,interaction_increment,0.8,0.2,50,50,1.0,9,0.18,0.09770192670234178,0.30796053674300783,9,0.18,0.09770192670234178,0.30796053674300783
text,1,24,B1_design,interaction_increment,0.8,0.35,50,50,1.0,13,0.26,0.15871527493552393,0.39553157264848837,13,0.26,0.15871527493552393,0.39553157264848837
text,1,24,B1_design,interaction_increment,0.8,0.5,50,50,1.0,20,0.4,0.27608389730256544,0.5381856225241064,20,0.4,0.27608389730256544,0.5381856225241064
text,1,24,B1_design,interaction_proxy_null,0.3,0.0,50,50,1.0,4,0.08,0.03154951408859298,0.18838246918342838,4,0.08,0.03154951408859298,0.18838246918342838
text,1,24,B1_design,interaction_proxy_null,0.8,0.0,50,50,1.0,2,0.04,0.011038884327619805,0.1346009068750702,2,0.04,0.011038884327619805,0.1346009068750702
